Gene_name	cluster_number
AKAP8L	16
AKAP9	6
AKIP1	16
AKIRIN1	10
AKIRIN2	10
AKNA	1
AKNAD1	16
AKR1A1	7
AKR1B1	7
AKR1B10	7
AKR1B15	7
AKR1C1	7
AKR1C2	7
AKR1C3	7
AKR1C4	7
AKR1D1	7
AKR1E2	7
AKR7A2	7
AKR7A3	7
AKT1	7
AKT1S1	1
AKT2	7
AKT3	7
AKTIP	33
ALAD	3
ALAS1	7
ALAS2	7
ALB	16
ALCAM	4
ALDH16A1	3
ALDH18A1	3
ALDH1A1	3
ALDH1A2	3
ALDH1A3	3
ALDH1B1	3
ALDH1L1	3
ALDH1L2	3
ALDH2	3
ALDH3A1	3
ALDH3A2	3
ALDH3B1	3
ALDH3B2	3
ALDH4A1	3
ALDH5A1	3
ALDH6A1	3
ALDH7A1	3
ALDH8A1	3
ALDH9A1	3
ALDOA	8
ALDOB	8
ALDOC	8
ALG1	3
ALG10	59
ALG10B	59
ALG11	3
ALG12	45
ALG13	3
ALG14	3
ALG1L	3
ALG1L2	3
ALG2	3
ALG3	2
ALG5	3
ALG6	2
ALG8	2
ALG9	2
ALK	7
ALKAL1	16
ALKAL2	16
ALKBH1	8
ALKBH2	42
ALKBH3	42
ALKBH4	8
ALKBH5	48
ALKBH6	29
ALKBH7	17
ALKBH8	7
ALLC	40
ALMS1	6
ALOX12	42
ALOX12B	42
ALOX15	42
ALOX15B	42
ALOX5	42
ALOX5AP	1
ALOXE3	42
ALPG	20
ALPI	20
ALPK1	33
ALPK2	13
ALPL	20
ALPP	20
ALS2	7
ALS2CL	8
ALX1	34
ALX3	34
ALX4	34
ALYREF	26
AMACR	33
AMBN	16
AMBP	6
AMBRA1	26
AMD1	2
AMDHD1	42
AMDHD2	38
AMELX	16
AMELY	16
AMER1	16
AMER2	16
AMER3	16
AMFR	7
AMH	1
AMHR2	3
AMIGO1	12
AMIGO2	23
AMIGO3	17
AMMECR1	7
AMMECR1L	7
AMN	4
AMN1	45
AMOT	6
AMOTL1	6
AMOTL2	6
AMPD1	3
AMPD2	3
AMPD3	3
AMPH	43
AMT	2
AMTN	9
AMY1A	35
AMY1B	35
AMY1C	35
AMY2A	35
AMY2B	35
AMZ1	1
AMZ2	1
ANAPC1	3
ANAPC10	3
ANAPC11	44
ANAPC13	6
ANAPC15	1
ANAPC16	16
ANAPC2	2
ANAPC4	14
ANAPC5	46
ANAPC7	47
ANG	9
ANGEL1	7
ANGEL2	7
ANGPT1	13
ANGPT2	13
ANGPT4	13
ANGPTL2	13
ANGPTL3	6
ANGPTL4	13
ANGPTL5	13
ANGPTL6	13
ANGPTL7	13
ANGPTL8	9
ANHX	4
ANK1	7
ANK2	7
ANK3	7
ANKAR	7
ANKDD1A	7
ANKDD1B	7
ANKEF1	7
ANKFN1	13
ANKFY1	7
ANKH	16
ANKHD1	7
ANKHD1-EIF4EBP3	7
ANKIB1	3
ANKK1	7
ANKLE1	14
ANKLE2	10
ANKMY1	8
ANKMY2	3
ANKRA2	7
ANKRD1	7
ANKRD10	7
ANKRD11	7
ANKRD12	7
ANKRD13A	12
ANKRD13B	12
ANKRD13C	12
ANKRD13D	12
ANKRD16	7
ANKRD17	7
ANKRD18A	7
ANKRD18B	7
ANKRD2	7
ANKRD20A1	7
ANKRD22	41
ANKRD23	7
ANKRD24	7
ANKRD26	7
ANKRD27	7
ANKRD28	7
ANKRD29	7
ANKRD30A	7
ANKRD30B	7
ANKRD30BL	7
ANKRD31	7
ANKRD33	35
ANKRD33B	2
ANKRD34A	49
ANKRD34B	55
ANKRD34C	55
ANKRD35	7
ANKRD36	7
ANKRD36B	7
ANKRD36C	7
ANKRD37	55
ANKRD39	7
ANKRD40	51
ANKRD40CL	30
ANKRD42	7
ANKRD44	7
ANKRD45	44
ANKRD46	7
ANKRD49	15
ANKRD50	7
ANKRD52	7
ANKRD53	7
ANKRD54	4
ANKRD55	7
