Gene_name,Protein_interaction_score,Genetic_interaction_score,Single_cell_score,Cluster_score,Motif_score,Publication_score,Protein_atlas_score,Total_score,Norm_total_score,Weighted_total_scores,Seq
WDR35,0.366664452909742,0.0458715596330275,0.589449541284404,0.479357798165138,0,0.87926135170622,0,30.7279849581325,3.8753148296733,2.36060470369853,17
BBS2,0.276328527316156,0,0.359693344274127,0.479357798165138,0.101909285140353,0.774362879451725,0.321100917431193,28.1640879680438,4.20672689053966,2.31275275177869,18
HSPB11,0.46820628105633,0,0.236085180735448,0.479357798165138,0,0.745486333718746,0.321100917431193,33.4649971442106,3.76598989426781,2.25023651110685,19
IFT43,0.46932761404873,0,0.355626078946405,0.479357798165138,0,0.592263846156,0.321100917431193,32.4108516339672,3.81153029880059,2.21767625474746,20
CC2D2A,0.124435845522176,0,0.589449541284404,0.479357798165138,0,0.699519587449922,0.321100917431193,21.3098480207278,3.8821582877476,2.21386368985283,21
IFT20,0.471783755809043,0,0.469908643073447,0.479357798165138,0,0.792631714507283,0,33.1515860006905,3.21603032942076,2.21368191155491,22
BBS9,0.573772938838203,0,0.359693344274127,0.479357798165138,0,0.787327859168573,0,36.6058591540592,3.15282282051333,2.20015194044604,23
ENKUR,-0.0062181100306366,0,0.355626078946405,0.479357798165138,0.229357798165138,0.820034967090621,0.321100917431193,20.073710815969,4.4446902230752,2.19925944976786,24
IFT80,0.785064261099641,0.018348623853211,0.469908643073447,0.0239678899082569,0,0.897824845391707,0,35.6883060713233,2.97203626056263,2.19511426332626,25
BBS1,0.478327786375649,0,0.359693344274127,0.479357798165138,0.0680313600832766,0.807659304633629,0,34.1551101605598,3.34952421262643,2.19306959353182,26
IFT88,0.605870848398452,0.055045871559633,0.469908643073447,0.0239678899082569,0.0680313600832766,0.964712354385444,0,31.0545595643249,3.51080643254594,2.18753696740851,27
CCDC40,0.0958145476649912,0,0.355626078946405,0.479357798165138,0.127448513024785,0.779372076160507,0.321100917431193,22.1318331738164,4.08757451384213,2.15871993139302,28
