Gene_name_A	Gene_name_B	type
MDH2	AGO2	Wormbase
MRPL15	AGO2	Wormbase
MRPL24	AGO2	Wormbase
MRPL40	AGO2	Wormbase
MSI2	AGO2	Wormbase
MYH10	AGO2	Wormbase
MYH6	AGO2	Wormbase
MYH7	AGO2	Wormbase
MYL1	AGO2	Wormbase
MYL6B	AGO2	Wormbase
NAP1L1	AGO2	Wormbase
NDUFS1	AGO2	Wormbase
NOP56	AGO2	Wormbase
NOVA2	AGO2	Wormbase
P4HA1	AGO2	Wormbase
P4HB	AGO2	Wormbase
P4HTM	AGO2	Wormbase
PABPC1	AGO2	Wormbase
PCCB	AGO2	Wormbase
PDIA3	AGO2	Wormbase
PGC	AGO2	Wormbase
PPIA	AGO2	Wormbase
PPIF	AGO2	Wormbase
PRDX3	AGO2	Wormbase
PRSS16	AGO2	Wormbase
PSMA2	AGO2	Wormbase
PSMB2	AGO2	Wormbase
PSMB3	AGO2	Wormbase
PSMB8	AGO2	Wormbase
PSMC1	AGO2	Wormbase
PSMC3	AGO2	Wormbase
PSMC5	AGO2	Wormbase
PSMD11	AGO2	Wormbase
PSMD12	AGO2	Wormbase
PSMD13	AGO2	Wormbase
PSMD14	AGO2	Wormbase
PSMD4	AGO2	Wormbase
PYCR1	AGO2	Wormbase
QARS1	AGO2	Wormbase
QKI	AGO2	Wormbase
RACK1	AGO2	Wormbase
RAN	AGO2	Wormbase
RANBP2	AGO2	Wormbase
RARS1	AGO2	Wormbase
RBMS1	AGO2	Wormbase
RPL10A	AGO2	Wormbase
RPL11	AGO2	Wormbase
RPL15	AGO2	Wormbase
RPL17-C18orf32	AGO2	Wormbase
RPL21	AGO2	Wormbase
RPL22	AGO2	Wormbase
RPL24	AGO2	Wormbase
RPL27	AGO2	Wormbase
RPL27A	AGO2	Wormbase
RPL28	AGO2	Wormbase
RPL32	AGO2	Wormbase
RPL37	AGO2	Wormbase
RPL38	AGO2	Wormbase
RPL9P7;	AGO2	Wormbase
RPLP2	AGO2	Wormbase
RPS15	AGO2	Wormbase
RPS18	AGO2	Wormbase
RPS19	AGO2	Wormbase
RPS20	AGO2	Wormbase
RPS21	AGO2	Wormbase
RPS23	AGO2	Wormbase
RPS24	AGO2	Wormbase
RPS5	AGO2	Wormbase
SLC25A3	AGO2	Wormbase
SND1	AGO2	Wormbase
SNU13	AGO2	Wormbase
SPATS2	AGO2	Wormbase
ST13	AGO2	Wormbase
STIP1	AGO2	Wormbase
TFG	AGO2	Wormbase
TNNI1	AGO2	Wormbase
TPM1	AGO2	Wormbase
TRIM71	AGO2	Wormbase
U2AF2	AGO2	Wormbase
UBQLN1	AGO2	Wormbase
UCHL5	AGO2	Wormbase
UPF1	AGO2	Wormbase
UQCRC2	AGO2	Wormbase
VARS1	AGO2	Wormbase
WIF1	AGO2	Wormbase
YBX1	AGO2	Wormbase
YTHDC2	AGO2	Wormbase
ZC3H10	AGO2	Wormbase
DDX4	AGO3	Wormbase
AQR	AGO4	Wormbase
CSTF2T	AGO4	Wormbase
DDX20	AGO4	Wormbase
DDX24	AGO4	Wormbase
DDX4	AGO4	Wormbase
DDX54	AGO4	Wormbase
HNRNPR	AGO4	Wormbase
IMP3	AGO4	Wormbase
MDN1	AGO4	Wormbase
NOP2	AGO4	Wormbase
NUP210	AGO4	Wormbase
NUP93	AGO4	Wormbase
POLR1D	AGO4	Wormbase
POLR2B	AGO4	Wormbase
POLR2C	AGO4	Wormbase
POLR2J	AGO4	Wormbase
PUM3	AGO4	Wormbase
RPL23	AGO4	Wormbase
RPL34	AGO4	Wormbase
RPS13	AGO4	Wormbase
RPS15	AGO4	Wormbase
RRS1	AGO4	Wormbase
SND1	AGO4	Wormbase
SRRT	AGO4	Wormbase
SSB	AGO4	Wormbase
TENT4A	AGO4	Wormbase
ARNT2	AHR	Wormbase
HSP90AA1	AHSA1	Wormbase
AIFM1	AIFM1	Wormbase
ENDOG	AIFM1	Wormbase
PLSCR1	AIFM1	Wormbase
RYR2	AIP	Wormbase
AACS	AKIRIN1	Wormbase
ABCF3	AKIRIN1	Wormbase
ACSL1	AKIRIN1	Wormbase
ACTR1A	AKIRIN1	Wormbase
ADRM1	AKIRIN1	Wormbase
AGO2	AKIRIN1	Wormbase
ANKRD49	AKIRIN1	Wormbase
AQR	AKIRIN1	Wormbase
ARID1A	AKIRIN1	Wormbase
ASCC3	AKIRIN1	Wormbase
ATAD2B	AKIRIN1	Wormbase
CBX2	AKIRIN1	Wormbase
CHD5	AKIRIN1	Wormbase
CHMP1B	AKIRIN1	Wormbase
CLSPN	AKIRIN1	Wormbase
CLUH	AKIRIN1	Wormbase
COPB1	AKIRIN1	Wormbase
COPS2	AKIRIN1	Wormbase
COPS3	AKIRIN1	Wormbase
COX4I1	AKIRIN1	Wormbase
COX5A	AKIRIN1	Wormbase
CPT1A	AKIRIN1	Wormbase
CREB3L1	AKIRIN1	Wormbase
CREBBP	AKIRIN1	Wormbase
CRYAB	AKIRIN1	Wormbase
CSE1L	AKIRIN1	Wormbase
CSNK1A1	AKIRIN1	Wormbase
CTSD	AKIRIN1	Wormbase
CYB5R3	AKIRIN1	Wormbase
