Gene_name_A	Gene_name_B	type
PARD3	DYRK1A	Wormbase
PARD6A	DYRK1A	Wormbase
PC	DYRK1A	Wormbase
PCMT1	DYRK1A	Wormbase
PLBD2	DYRK1A	Wormbase
POLR2H	DYRK1A	Wormbase
PPM1D	DYRK1A	Wormbase
PPP1R12B	DYRK1A	Wormbase
PPP2R5A	DYRK1A	Wormbase
PPP4C	DYRK1A	Wormbase
PPP4R1	DYRK1A	Wormbase
PRDM16	DYRK1A	Wormbase
PRPF31	DYRK1A	Wormbase
RBL2	DYRK1A	Wormbase
RBM5	DYRK1A	Wormbase
REPS2	DYRK1A	Wormbase
RGS8	DYRK1A	Wormbase
RIN2	DYRK1A	Wormbase
RRAGA	DYRK1A	Wormbase
RUVBL2	DYRK1A	Wormbase
SBNO1	DYRK1A	Wormbase
SNX6	DYRK1A	Wormbase
SP4	DYRK1A	Wormbase
SPECC1	DYRK1A	Wormbase
SRCAP	DYRK1A	Wormbase
STAG2	DYRK1A	Wormbase
TAF12	DYRK1A	Wormbase
TENT2	DYRK1A	Wormbase
TFDP1	DYRK1A	Wormbase
TUBG1	DYRK1A	Wormbase
UBA2	DYRK1A	Wormbase
VPS72	DYRK1A	Wormbase
YEATS4	DYRK1A	Wormbase
YTHDC2	DYRK1A	Wormbase
ZFP36L2	DYRK1A	Wormbase
ZMYND11	DYRK1A	Wormbase
ACTN2	DYRK2	Wormbase
ADK	DYRK2	Wormbase
AGO2	DYRK2	Wormbase
AGO3	DYRK2	Wormbase
AJM1	DYRK2	Wormbase
ATAD3B	DYRK2	Wormbase
AURKA	DYRK2	Wormbase
BPTF	DYRK2	Wormbase
BRCA1	DYRK2	Wormbase
CCT6A	DYRK2	Wormbase
CHD5	DYRK2	Wormbase
CLASP2	DYRK2	Wormbase
CNOT1	DYRK2	Wormbase
CNOT6L	DYRK2	Wormbase
CNOT7	DYRK2	Wormbase
COLEC12	DYRK2	Wormbase
CSNK2B	DYRK2	Wormbase
CUX2	DYRK2	Wormbase
DEPDC5	DYRK2	Wormbase
DLG3	DYRK2	Wormbase
DMAP1	DYRK2	Wormbase
DNA2	DYRK2	Wormbase
DPH1	DYRK2	Wormbase
E2F3	DYRK2	Wormbase
E2F4	DYRK2	Wormbase
ERP44	DYRK2	Wormbase
FAM13A	DYRK2	Wormbase
FBXW11	DYRK2	Wormbase
GATA4	DYRK2	Wormbase
GMPS	DYRK2	Wormbase
GSK3B	DYRK2	Wormbase
HACE1	DYRK2	Wormbase
HAS3	DYRK2	Wormbase
HDAC6	DYRK2	Wormbase
HKDC1	DYRK2	Wormbase
HORMAD1	DYRK2	Wormbase
IFIH1	DYRK2	Wormbase
KATNA1	DYRK2	Wormbase
LIN9	DYRK2	Wormbase
LPGAT1	DYRK2	Wormbase
MAD2L1	DYRK2	Wormbase
MCM10	DYRK2	Wormbase
MIOS	DYRK2	Wormbase
MRE11	DYRK2	Wormbase
NCAPH2	DYRK2	Wormbase
NPRL2	DYRK2	Wormbase
NPRL3	DYRK2	Wormbase
NRBP1	DYRK2	Wormbase
ONECUT1	DYRK2	Wormbase
ONECUT2	DYRK2	Wormbase
PGLS	DYRK2	Wormbase
PLD3	DYRK2	Wormbase
PPA1	DYRK2	Wormbase
PPP2R5D	DYRK2	Wormbase
PPP4R1	DYRK2	Wormbase
PRDM16	DYRK2	Wormbase
PRIM2	DYRK2	Wormbase
PTCH2	DYRK2	Wormbase
PTPN9	DYRK2	Wormbase
PYCR3	DYRK2	Wormbase
RBL2	DYRK2	Wormbase
RDH13	DYRK2	Wormbase
RFC4	DYRK2	Wormbase
RFC5	DYRK2	Wormbase
RPRD1B	DYRK2	Wormbase
RUVBL2	DYRK2	Wormbase
SACM1L	DYRK2	Wormbase
SEC16A	DYRK2	Wormbase
SEC16B	DYRK2	Wormbase
SLC25A15	DYRK2	Wormbase
SQSTM1	DYRK2	Wormbase
SRCAP	DYRK2	Wormbase
STOM	DYRK2	Wormbase
SUMO1	DYRK2	Wormbase
SZT2	DYRK2	Wormbase
TENT2	DYRK2	Wormbase
TFDP1	DYRK2	Wormbase
TMEM201	DYRK2	Wormbase
TMOD1	DYRK2	Wormbase
WDR24	DYRK2	Wormbase
UBE4B	DYRK2	Wormbase
UBR5	DYRK2	Wormbase
USO1	DYRK2	Wormbase
USP47	DYRK2	Wormbase
USP7	DYRK2	Wormbase
ZFP36L2	DYRK2	Wormbase
WDHD1	DYRK2	Wormbase
WDR82	DYRK2	Wormbase
XPO1	DYRK2	Wormbase
YEATS4	DYRK2	Wormbase
ZFP36L1	DYRK2	Wormbase
ZW10	DYRK2	Wormbase
D6RAR5	E2F3	Wormbase
EYA2	E2F3	Wormbase
HOXA5	E2F3	Wormbase
MECOM	E2F3	Wormbase
RORA	E2F3	Wormbase
TBX19	E2F3	Wormbase
LIN54	E2F4	Wormbase
RBL2	E2F4	Wormbase
TFDP1	E2F4	Wormbase
KDM6B	EBF1	Wormbase
ACTN2	ECSIT	Wormbase
NR4A1	ECSIT	Wormbase
RACGAP1	ECT2	Wormbase
EZH2	EED	Wormbase
VPS39	EEF1G	Wormbase
BMPER	EEF2	Wormbase
EPHB2	EFNA1	Wormbase
L1CAM	EFNA1	Wormbase
EPHB2	EFNB2	Wormbase
APBA1	EGLN1	Wormbase
CBS	EGLN1	Wormbase
DCAF7	EGLN1	Wormbase
RAB10	EHBP1	Wormbase
RAB35	EHBP1	Wormbase
RAB8B	EHBP1	Wormbase
APBA1	EHD1	Wormbase
BIN2	EHD1	Wormbase
CAP1	EHD1	Wormbase
DAB1	EHD1	Wormbase
EPN1	EHD1	Wormbase
PCYT2	EHD1	Wormbase
PDCD6IP	EHD1	Wormbase
SORBS3	EHD1	Wormbase
SPOP	EHD1	Wormbase
DMRT2	EHF	Wormbase
DMRTC2	EHF	Wormbase
EYA2	EHF	Wormbase
ZNF236	EHF	Wormbase
FTH1	EIF1AD	Wormbase
SPOP	EIF1AD	Wormbase
EIF3C	EIF1B	Wormbase
D6RAR5	EIF2AK4	Wormbase
LMNA	EIF2S3	Wormbase
EIF3C	EIF3A	Wormbase
EIF3A	EIF3B	Wormbase
R3HCC1L	EIF3B	Wormbase
ACTN2	EIF3D	Wormbase
DYNLL2	EIF3D	Wormbase
EIF3E	EIF3D	Wormbase
LDB3	EIF3D	Wormbase
LMNB1	EIF3D	Wormbase
USO1	EIF3D	Wormbase
ZC4H2	EIF3D	Wormbase
EIF3L	EIF3E	Wormbase
CLUAP1	EIF3K	Wormbase
EIF3L	EIF3K	Wormbase
EIF3F	EIF3M	Wormbase
PCCB	EIF3M	Wormbase
RRM2	EIF3M	Wormbase
KIF5C	EIF4A3	Wormbase
SRPK3	EIF4A3	Wormbase
TPM1	EIF4A3	Wormbase
DDX20	EIF4E	Wormbase
EIF4E	EIF4E	Wormbase
EIF4ENIF1	EIF4E	Wormbase
EIF4G3	EIF4E	Wormbase
ERH	EIF4E	Wormbase
GEMIN2	EIF4E	Wormbase
GEMIN8	EIF4E	Wormbase
PRDM9	EIF4E	Wormbase
RPL36AL	EIF4E	Wormbase
RYR2	EIF4E	Wormbase
SMN1;	EIF4E	Wormbase
SNRPB2	EIF4E	Wormbase
VPS39	EIF4E	Wormbase
DDX6	EIF4ENIF1	Wormbase
ZFP36L1	EIF4ENIF1	Wormbase
COPS5	EIF5A	Wormbase
DHPS	EIF5A	Wormbase
SRPK3	EIF5A	Wormbase
CELF1	ELAVL4	Wormbase
QKI	ELAVL4	Wormbase
RAD54L2	ELAVL4	Wormbase
RBFOX2	ELAVL4	Wormbase
RBPMS	ELAVL4	Wormbase
TNPO1	ELAVL4	Wormbase
USO1	ELAVL4	Wormbase
HOXB6	ELF2	Wormbase
ZNF236	ELF2	Wormbase
CHD5	ELK1	Wormbase
DMRTC2	ELK1	Wormbase
EHMT1	ELK1	Wormbase
MAPK1	ELK1	Wormbase
RAD54L2	ELK1	Wormbase
RERE	ELK1	Wormbase
ZBTB40	ELK1	Wormbase
CRK	ELMO2	Wormbase
JMJD6	ELMO2	Wormbase
RAC1	ELMO2	Wormbase
ACTN2	ELOB	Wormbase
ARFGEF2	ELOB	Wormbase
ELOC	ELOB	Wormbase
LMNB1	ELOB	Wormbase
SRPK3	ELOB	Wormbase
CUL2	ELOC	Wormbase
ELOB	ELOC	Wormbase
FEM1C	ELOC	Wormbase
GLI2	ELOC	Wormbase
PPM1F	ELOC	Wormbase
ZYG11B	ELOC	Wormbase
ELP3	ELP1	Wormbase
ACTN2	ELP4	Wormbase
CDX2	ELP4	Wormbase
EMC9	EMC2	Wormbase
EMC2	EMC9	Wormbase
TBX19	EMX1	Wormbase
ZNF236	EMX1	Wormbase
ENDOG	ENDOG	Wormbase
ERI1	ENDOG	Wormbase
EXOSC10	ENDOG	Wormbase
EXOSC5	ENDOG	Wormbase
FEN1	ENDOG	Wormbase
PPIE	ENDOG	Wormbase
EBF1	EP300	Wormbase
EP300	EP300	Wormbase
FMNL2	EP300	Wormbase
FOXO3	EP300	Wormbase
GABARAP	EP300	Wormbase
HIF1A	EP300	Wormbase
HNF4A	EP300	Wormbase
LPP	EP300	Wormbase
MAP1LC3A	EP300	Wormbase
NFE2L3	EP300	Wormbase
NFIB	EP300	Wormbase
PRMT5	EP300	Wormbase
TCF7L2	EP300	Wormbase
ZFHX4	EP300	Wormbase
EFNB2	EPHB2	Wormbase
NCK2	EPHB2	Wormbase
PTEN	EPHB2	Wormbase
RAN	EPHB2	Wormbase
ROBO2	EPHB2	Wormbase
VAPA	EPHB2	Wormbase
AAK1	EPS15L1	Wormbase
AP2A2	EPS15L1	Wormbase
AP2B1	EPS15L1	Wormbase
APBA1	EPS15L1	Wormbase
CAP1	EPS15L1	Wormbase
CLTA	EPS15L1	Wormbase
CLTC	EPS15L1	Wormbase
DAB1	EPS15L1	Wormbase
EPN1	EPS15L1	Wormbase
EPS15L1	EPS15L1	Wormbase
HGS	EPS15L1	Wormbase
ITSN1	EPS15L1	Wormbase
PDCD6IP	EPS15L1	Wormbase
SORBS3	EPS15L1	Wormbase
SPOP	EPS15L1	Wormbase
STAM	EPS15L1	Wormbase
TFG	EPS15L1	Wormbase
UBQLN1	EPS15L1	Wormbase
ERBB3	ERBB3	Wormbase
LIN7B	ERBB3	Wormbase
ERCC1	ERCC4	Wormbase
DCAF11	ERCC5	Wormbase
ACAA2	ERH	Wormbase
ACADSB	ERH	Wormbase
ACTB	ERH	Wormbase
ACTG1	ERH	Wormbase
AHCY	ERH	Wormbase
AK1	ERH	Wormbase
ALDOA	ERH	Wormbase
ATP5F1A	ERH	Wormbase
ATP5F1B	ERH	Wormbase
ATP5PB	ERH	Wormbase
ATP6V1B2	ERH	Wormbase
CAD	ERH	Wormbase
CALM3	ERH	Wormbase
CENPV	ERH	Wormbase
CKM	ERH	Wormbase
CNN1	ERH	Wormbase
COPS5	ERH	Wormbase
CRYAB	ERH	Wormbase
CTSL	ERH	Wormbase
DLST	ERH	Wormbase
DST	ERH	Wormbase
EEF1A2	ERH	Wormbase
EEF1G	ERH	Wormbase
EEF2	ERH	Wormbase
EIF4E	ERH	Wormbase
EIF5A	ERH	Wormbase
ENO1	ERH	Wormbase
ERH	ERH	Wormbase
FBL	ERH	Wormbase
GAPDH	ERH	Wormbase
GLUD1	ERH	Wormbase
HAGH	ERH	Wormbase
his-15	ERH	Wormbase
HPGDS	ERH	Wormbase
HSP90AA1	ERH	Wormbase
HSPA5	ERH	Wormbase
HSPA8	ERH	Wormbase
HSPA9	ERH	Wormbase
HSPD1	ERH	Wormbase
LMNA	ERH	Wormbase
LMNB1	ERH	Wormbase
LMNB2	ERH	Wormbase
MYH6	ERH	Wormbase
MYH7	ERH	Wormbase
MYL6	ERH	Wormbase
MYLPF	ERH	Wormbase
NACA4P	ERH	Wormbase
NME2	ERH	Wormbase
NOP58	ERH	Wormbase
PABPC1	ERH	Wormbase
PHB	ERH	Wormbase
PRDX2	ERH	Wormbase
PYCR3	ERH	Wormbase
RPL13	ERH	Wormbase
RPL18A	ERH	Wormbase
RPL21	ERH	Wormbase
RPL26	ERH	Wormbase
RPL27	ERH	Wormbase
RPL3	ERH	Wormbase
RPL36	ERH	Wormbase
RPL4	ERH	Wormbase
RPL7	ERH	Wormbase
RPL7A	ERH	Wormbase
RPL8	ERH	Wormbase
RPLP0	ERH	Wormbase
RPLP1	ERH	Wormbase
RPLP2	ERH	Wormbase
RPS10	ERH	Wormbase
RPS11	ERH	Wormbase
RPS12	ERH	Wormbase
RPS15	ERH	Wormbase
RPS17	ERH	Wormbase
RPS19	ERH	Wormbase
RPS20	ERH	Wormbase
RPS21	ERH	Wormbase
RPS24	ERH	Wormbase
RPS27	ERH	Wormbase
RPS27A	ERH	Wormbase
RPS3	ERH	Wormbase
RPS3A	ERH	Wormbase
RPS6	ERH	Wormbase
RPS8	ERH	Wormbase
SDHA	ERH	Wormbase
TKT	ERH	Wormbase
TNNI2	ERH	Wormbase
TPM1	ERH	Wormbase
TTN	ERH	Wormbase
TUBA1C	ERH	Wormbase
TUBB	ERH	Wormbase
TUFM	ERH	Wormbase
UBA52	ERH	Wormbase
YBX1	ERH	Wormbase
YWHAZ	ERH	Wormbase
ENDOG	ERI1	Wormbase
ERI1	ERI1	Wormbase
EXOSC10	ERI1	Wormbase
EXOSC5	ERI1	Wormbase
FEN1	ERI1	Wormbase
PPIE	ERI1	Wormbase
VPS39	ESPL1	Wormbase
D6RAR5	ESR1	Wormbase
HNF4G	ESR1	Wormbase
MECOM	ESR1	Wormbase
MEIS1	ESR1	Wormbase
RXRA	ESR1	Wormbase
ZNF236	ESR1	Wormbase
ZNF816	ESR1	Wormbase
ESRRA	ESRRA	Wormbase
HNF4G	ESRRA	Wormbase
RXRA	ESRRA	Wormbase
TBX19	ESRRA	Wormbase
HNF4G	ESRRB	Wormbase
DNM1L	ESRRG	Wormbase
HNF4A	ESRRG	Wormbase
HNF4G	ESRRG	Wormbase
PEX5	ESRRG	Wormbase
ACTN2	ESS2	Wormbase
DVL2	ESS2	Wormbase
EIF2B1	ESS2	Wormbase
EPS8	ESS2	Wormbase
PFDN2	ESS2	Wormbase
SH3GL1	ESS2	Wormbase
USO1	ESS2	Wormbase
ZNF236	ETV1	Wormbase
DBP	ETV2	Wormbase
ZNF236	ETV2	Wormbase
RAB6A	EVI5L	Wormbase
DBP	EVX1	Wormbase
DMRTC2	EVX1	Wormbase
IRX5	EVX1	Wormbase
MEIS1	EVX1	Wormbase
TBX19	EVX1	Wormbase
ZNF236	EVX1	Wormbase
CCAR2	EXOC1	Wormbase
TFG	EXOC5	Wormbase
EXOSC10	EXOSC10	Wormbase
FEN1	EXOSC10	Wormbase
ENDOG	EXOSC5	Wormbase
ERI1	EXOSC5	Wormbase
EXOSC10	EXOSC5	Wormbase
EXOSC5	EXOSC5	Wormbase
FEN1	EXOSC5	Wormbase
PPIE	EXOSC5	Wormbase
EXT1	EXTL3	Wormbase
AFDN	EYA2	Wormbase
BCKDHB	EYA2	Wormbase
CNOT2	EYA2	Wormbase
CNOT4	EYA2	Wormbase
CPSF7	EYA2	Wormbase
CSNK2B	EYA2	Wormbase
FMNL2	EYA2	Wormbase
GMPS	EYA2	Wormbase
PICALM	EYA2	Wormbase
LGALS9C	EYA2	Wormbase
NFIL3	EYA2	Wormbase
NOS1AP	EYA2	Wormbase
NR4A1	EYA2	Wormbase
PLSCR1	EYA2	Wormbase
PTBP3	EYA2	Wormbase
QKI	EYA2	Wormbase
R3HDM2	EYA2	Wormbase
RAD54L2	EYA2	Wormbase
RANBP2	EYA2	Wormbase
RBFOX1	EYA2	Wormbase
RBFOX2	EYA2	Wormbase
RBPMS	EYA2	Wormbase
RC3H1	EYA2	Wormbase
RERE	EYA2	Wormbase
SALL3	EYA2	Wormbase
SIX1	EYA2	Wormbase
SIX2	EYA2	Wormbase
SIX5	EYA2	Wormbase
TCF7L2	EYA2	Wormbase
TFG	EYA2	Wormbase
TNPO1	EYA2	Wormbase
USO1	EYA2	Wormbase
ZBTB40	EYA2	Wormbase
EED	EZH2	Wormbase
CDX2	EZR	Wormbase
ERBB3	EZR	Wormbase
KLHL8	FABP3	Wormbase
CDT1	FAF1	Wormbase
VCP	FAF1	Wormbase
HSPB1	FAIM	Wormbase
SREBF2	FAIM2	Wormbase
STX18	FAIM2	Wormbase
ACTN2	FAM13A	Wormbase
CDC42	FAM13A	Wormbase
LMNB1	FAM13A	Wormbase
RHOA	FAM13A	Wormbase
IGFALS	FAM151B	Wormbase
PAH	FAM161B	Wormbase
USO1	FAM161B	Wormbase
ANKS1A	CYRIA	Wormbase
SUMO1	FAN1	Wormbase
SUN1	FAN1	Wormbase
EIF2B1	FARSA	Wormbase
CTSL	FARSB	Wormbase
FARSA	FARSB	Wormbase
LMNB2	FARSB	Wormbase
SRPK3	FARSB	Wormbase
AFDN	FAT1	Wormbase
CTNNA2	FAT1	Wormbase
CTNND2	FAT1	Wormbase
JUP	FAT1	Wormbase
TRAF3IP1	FBF1	Wormbase
NOP56	FBL	Wormbase
RAD23B	FBXL20	Wormbase
SMARCAD1	FBXL20	Wormbase
XPC	FBXL20	Wormbase
PRDM1	FBXO11	Wormbase
SKP1	FBXO11	Wormbase
KBTBD2	FBXO32	Wormbase
SCNN1G	FBXO32	Wormbase
MYCBP2	FBXO45	Wormbase
SKP1	FBXO47	Wormbase
FBXW7	FBXW7	Wormbase
HNF4A	FBXW7	Wormbase
HNF4G	FBXW7	Wormbase
NOTCH2	FBXW7	Wormbase
PSEN2	FBXW7	Wormbase
SKP1	FBXW7	Wormbase
ACSL4	FCGBP	Wormbase
BMPER	FCGBP	Wormbase
CIT	FCGBP	Wormbase
PPP1R9A	FCGBP	Wormbase
SEC61A2	FCGBP	Wormbase
SLC30A1	FCGBP	Wormbase
TACO1	FCGBP	Wormbase
TRAK1	FCGBP	Wormbase
ELOC	FEM1C	Wormbase
GLI2	FEM1C	Wormbase
PPM1F	FEM1C	Wormbase
SLBP	FEM1C	Wormbase
ENDOG	FEN1	Wormbase
ERI1	FEN1	Wormbase
EXOSC10	FEN1	Wormbase
FEN1	FEN1	Wormbase
PPIE	FEN1	Wormbase
FERMT2	FERMT2	Wormbase
ILK	FERMT2	Wormbase
LIMS2	FERMT2	Wormbase
PARVA	FERMT2	Wormbase
PLEKHG1	FERMT2	Wormbase
STX1A	FEZ1	Wormbase
CDX2	FGF20	Wormbase
COL6A5	FGF20	Wormbase
CSNK2A1	FGF20	Wormbase
CSNK2B	FGF20	Wormbase
CTSE	FGF20	Wormbase
EBNA1BP2	FGF20	Wormbase
GLG1	FGF20	Wormbase
HSP90AA1	FGF20	Wormbase
HSPA9	FGF20	Wormbase
RPL6	FGF20	Wormbase
RPS16	FGF20	Wormbase
SKP1	FGF20	Wormbase
UMPS	FGF20	Wormbase
YWHAZ	FGF20	Wormbase
GBA3	FGFR3	Wormbase
CTNND2	FHDC1	Wormbase
EIF4ENIF1	FHDC1	Wormbase
KLHL28	FHDC1	Wormbase
MAPRE1	FHDC1	Wormbase
MAPRE3	FHDC1	Wormbase
SETD5	FHDC1	Wormbase
SIAH1	FHDC1	Wormbase
TNPO1	FHDC1	Wormbase
TTN	FHDC1	Wormbase
CRIM1	FHL1	Wormbase
HMCN1	FHL1	Wormbase
FICD	FICD	Wormbase
FIGNL1	FIGNL1	Wormbase
SUMO1	FIGNL1	Wormbase
SQOR	FLNA	Wormbase
DBP	FMNL2	Wormbase
DMRT2	FMNL2	Wormbase
DMRTC2	FMNL2	Wormbase
EYA2	FMNL2	Wormbase
FMNL2	FMNL2	Wormbase
HNF4A	FMNL2	Wormbase
MEIS1	FMNL2	Wormbase
RORA	FMNL2	Wormbase
TEAD3	FMNL2	Wormbase
TFAP2B	FMNL2	Wormbase
CDC42	FNBP1	Wormbase
WASF1	FNBP1	Wormbase
ACTN2	FOXA1	Wormbase
CASKIN1	FOXA1	Wormbase
CPSF7	FOXA1	Wormbase
DBP	FOXA1	Wormbase
DLX6	FOXA1	Wormbase
DMRT2	FOXA1	Wormbase
DMRTC2	FOXA1	Wormbase
DRAP1	FOXA1	Wormbase
EDC4	FOXA1	Wormbase
EYA2	FOXA1	Wormbase
FMNL2	FOXA1	Wormbase
FOXO3	FOXA1	Wormbase
GATA4	FOXA1	Wormbase
GLI2	FOXA1	Wormbase
GMEB1	FOXA1	Wormbase
HIF1A	FOXA1	Wormbase
HNF4A	FOXA1	Wormbase
HNF4G	FOXA1	Wormbase
IKZF1	FOXA1	Wormbase
IRF2BP2	FOXA1	Wormbase
ISL2	FOXA1	Wormbase
JUNB	FOXA1	Wormbase
LHX5	FOXA1	Wormbase
MECOM	FOXA1	Wormbase
MEIS1	FOXA1	Wormbase
NFIB	FOXA1	Wormbase
NFIL3	FOXA1	Wormbase
NFYB	FOXA1	Wormbase
NFYC	FOXA1	Wormbase
NKX2-2	FOXA1	Wormbase
NKX6-2	FOXA1	Wormbase
NR1D2	FOXA1	Wormbase
PEX5	FOXA1	Wormbase
RBFOX1	FOXA1	Wormbase
RBFOX2	FOXA1	Wormbase
RC3H2	FOXA1	Wormbase
RORA	FOXA1	Wormbase
SMARCC2	FOXA1	Wormbase
SOX4	FOXA1	Wormbase
SOX6	FOXA1	Wormbase
TBX19	FOXA1	Wormbase
TFAP2B	FOXA1	Wormbase
ZNF407	FOXA1	Wormbase
ZNF714	FOXA1	Wormbase
VDR	FOXA1	Wormbase
ZBTB40	FOXA1	Wormbase
ZFP36L1	FOXA1	Wormbase
ZFP36L2	FOXA1	Wormbase
ZNF18	FOXA1	Wormbase
ZNF227	FOXA1	Wormbase
ZNF236	FOXA1	Wormbase
ZNF816	FOXA1	Wormbase
ZNF879	FOXA1	Wormbase
ELK1	FOXB1	Wormbase
DBP	FOXD4	Wormbase
DLX6	FOXD4	Wormbase
DMRT2	FOXD4	Wormbase
DMRTC2	FOXD4	Wormbase
DRAP1	FOXD4	Wormbase
EYA2	FOXD4	Wormbase
FMNL2	FOXD4	Wormbase
HNF4A	FOXD4	Wormbase
LHX5	FOXD4	Wormbase
MECOM	FOXD4	Wormbase
MEIS1	FOXD4	Wormbase
TBX19	FOXD4	Wormbase
TBX6	FOXD4	Wormbase
TCF7L2	FOXD4	Wormbase
VDR	FOXD4	Wormbase
ZNF236	FOXD4	Wormbase
ZFP36L1	FOXD4	Wormbase
ZNF18	FOXD4	Wormbase
D6RAR5	FOXG1	Wormbase
TBX19	FOXG1	Wormbase
ARNT2	FOXI1	Wormbase
CASKIN1	FOXI1	Wormbase
D6RAR5	FOXI1	Wormbase
DBP	FOXI1	Wormbase
DLX6	FOXI1	Wormbase
DMRT2	FOXI1	Wormbase
DMRTA2	FOXI1	Wormbase
DMRTC2	FOXI1	Wormbase
DRAP1	FOXI1	Wormbase
EYA2	FOXI1	Wormbase
FMNL2	FOXI1	Wormbase
GATA4	FOXI1	Wormbase
GFI1	FOXI1	Wormbase
GLI2	FOXI1	Wormbase
GMEB1	FOXI1	Wormbase
HIF1A	FOXI1	Wormbase
HNF4A	FOXI1	Wormbase
HOXA5	FOXI1	Wormbase
IRX5	FOXI1	Wormbase
ISL2	FOXI1	Wormbase
KLF5	FOXI1	Wormbase
LHX1	FOXI1	Wormbase
MEIS1	FOXI1	Wormbase
NFIB	FOXI1	Wormbase
NFIL3	FOXI1	Wormbase
NKX1-1	FOXI1	Wormbase
NKX2-2	FOXI1	Wormbase
NKX6-2	FOXI1	Wormbase
NR1D2	FOXI1	Wormbase
NR2C2	FOXI1	Wormbase
PEX5	FOXI1	Wormbase
PITX1	FOXI1	Wormbase
PRDM1	FOXI1	Wormbase
SALL3	FOXI1	Wormbase
SOX14	FOXI1	Wormbase
SOX4	FOXI1	Wormbase
SOX6	FOXI1	Wormbase
TBX19	FOXI1	Wormbase
TBX6	FOXI1	Wormbase
VDR	FOXI1	Wormbase
ZBTB40	FOXI1	Wormbase
ZNF227	FOXI1	Wormbase
ZNF236	FOXI1	Wormbase
ZNF407	FOXI1	Wormbase
ZNF714	FOXI1	Wormbase
ZNF879	FOXI1	Wormbase
TBX19	FOXI2	Wormbase
ACTB	FOXO3	Wormbase
ADRM1	FOXO3	Wormbase
ALDH2	FOXO3	Wormbase
ARID1A	FOXO3	Wormbase
ATP5F1A	FOXO3	Wormbase
ATP6V1F	FOXO3	Wormbase
BANF1	FOXO3	Wormbase
CALM3	FOXO3	Wormbase
CAP1	FOXO3	Wormbase
CASC3	FOXO3	Wormbase
CCT2	FOXO3	Wormbase
CCT3	FOXO3	Wormbase
CCT4	FOXO3	Wormbase
CCT8	FOXO3	Wormbase
CHIT1	FOXO3	Wormbase
COMTD1	FOXO3	Wormbase
CRYAB	FOXO3	Wormbase
DDX39B	FOXO3	Wormbase
DLST	FOXO3	Wormbase
DPY30	FOXO3	Wormbase
DYNLL2	FOXO3	Wormbase
EEF1G	FOXO3	Wormbase
EIF3H	FOXO3	Wormbase
EIF3M	FOXO3	Wormbase
ELOB	FOXO3	Wormbase
FOXP4	FOXO3	Wormbase
FTH1	FOXO3	Wormbase
GATAD2A	FOXO3	Wormbase
GTF2A1	FOXO3	Wormbase
H1-0	FOXO3	Wormbase
HMGB3	FOXO3	Wormbase
HSD17B10	FOXO3	Wormbase
IPO5	FOXO3	Wormbase
ISOC2	FOXO3	Wormbase
JUP	FOXO3	Wormbase
LIG3	FOXO3	Wormbase
MAP1B	FOXO3	Wormbase
MED4	FOXO3	Wormbase
MITF	FOXO3	Wormbase
MLLT10	FOXO3	Wormbase
MORF4L1	FOXO3	Wormbase
MYLPF	FOXO3	Wormbase
NFYA	FOXO3	Wormbase
NMT2	FOXO3	Wormbase
NPEPL1	FOXO3	Wormbase
PCBD1	FOXO3	Wormbase
PFDN2	FOXO3	Wormbase
PFDN6	FOXO3	Wormbase
PGLS	FOXO3	Wormbase
POLE3	FOXO3	Wormbase
POLR1C	FOXO3	Wormbase
POLR1D	FOXO3	Wormbase
POLR2H	FOXO3	Wormbase
POLR3F	FOXO3	Wormbase
PPP3CA	FOXO3	Wormbase
PPP4R3A	FOXO3	Wormbase
PRDX3	FOXO3	Wormbase
PRMT1	FOXO3	Wormbase
PSMA1	FOXO3	Wormbase
PSMA2	FOXO3	Wormbase
PSMA3	FOXO3	Wormbase
PSMA6	FOXO3	Wormbase
PSMA7	FOXO3	Wormbase
PSMB7	FOXO3	Wormbase
PSMC3	FOXO3	Wormbase
PSMD10	FOXO3	Wormbase
PSMD13	FOXO3	Wormbase
PSMD14	FOXO3	Wormbase
PSMD7	FOXO3	Wormbase
PSMD8	FOXO3	Wormbase
PSME3	FOXO3	Wormbase
PURA	FOXO3	Wormbase
RANBP2	FOXO3	Wormbase
RBBP4	FOXO3	Wormbase
RBMS1	FOXO3	Wormbase
RC3H1	FOXO3	Wormbase
RCC1	FOXO3	Wormbase
RERE	FOXO3	Wormbase
RPA1	FOXO3	Wormbase
RPL35A	FOXO3	Wormbase
RPL4	FOXO3	Wormbase
RUVBL1	FOXO3	Wormbase
SDF2	FOXO3	Wormbase
SGTA	FOXO3	Wormbase
SMARCC2	FOXO3	Wormbase
SMARCE1	FOXO3	Wormbase
SNRPA1	FOXO3	Wormbase
SNRPB	FOXO3	Wormbase
SNRPD2	FOXO3	Wormbase
SNRPE	FOXO3	Wormbase
SNRPG	FOXO3	Wormbase
SOD1	FOXO3	Wormbase
SS18L2	FOXO3	Wormbase
SSBP1	FOXO3	Wormbase
ST13	FOXO3	Wormbase
TCP1	FOXO3	Wormbase
TPM1	FOXO3	Wormbase
UBC	FOXO3	Wormbase
UCHL5	FOXO3	Wormbase
XRCC5	FOXO3	Wormbase
YWHAZ	FOXO3	Wormbase
ZNF707	FOXO3	Wormbase
DMRT2	FOXP4	Wormbase
MECOM	FOXP4	Wormbase
ZBTB40	FOXP4	Wormbase
