Gene_name	Gene_synonyms
ADARB2	RED2
ADCP1	-
ADCY1	AC1
ADCY1	DFNB44
ADCY2	AC2
ADCY2	HBAC2
ADCY3	AC-III
ADCY3	AC3
ADCY3	BMIQ19
ADCY5	AC5
ADCY5	FDFM
ADCY6	AC6
ADCY6	LCCS8
ADCY7	AC7
ADCY8	AC8
ADCY8	ADCY3
ADCY8	HBAC1
ADCY9	AC9
ADCY9	ACIX
ADCYAP1	PACAP
ADCYAP1R1	PAC1
ADCYAP1R1	PAC1R
ADCYAP1R1	PACAPR
ADCYAP1R1	PACAPRI
ADD1	ADDA
ADD2	ADDB
ADD3	ADDL
ADD3	CPSQ3
ADFN	ALDS
PLIN2	ADFP
PLIN2	ADRP
ADH1A	ADH1
ADH1B	ADH2
ADH1B	HEL-S-117
ADH1C	ADH3
ADH4	ADH-2
ADH4	HEL-S-4
ADH5	ADH-3
ADH5	ADHX
ADH5	FALDH
ADH5	FDH
ADH5	GSH-FDH
ADH5	GSNOR
ADH5	HEL-S-60p
ADH6	ADH-5
ADH7	ADH4
ADK	AK
ADM	AM
ADM	PAMP
ADORA1	RDC7
ADORA2A	A2aR
ADORA2A	ADORA2
ADORA2A	RDC8
ADORA2B	ADORA2
ADORA2BP1	ADORA2BP
ADORA3	A3AR
ADPRH	ARH1
ADPRH	hARH1
PARP1	ADPRT
PARP1	ADPRT 1
PARP1	ADPRT1
PARP1	ARTD1
PARP1	PARP
PARP1	PARP-1
PARP1	PPOL
PARP1	pADPRT-1
PARP4	ADPRTL1
PARP4	ARTD4
PARP4	PARP-4
PARP4	PARPL
PARP4	PH5P
PARP4	VAULT3
PARP4	VPARP
PARP4	VWA5C
PARP4	p193
PARP1P1	ADPRTP1
PARP1P1	PPOLP1
PARP1P2	ADPRTP2
PARP1P2	PPOLP2
ADRA1D	ADRA1
ADRA1D	ADRA1A
ADRA1D	ADRA1R
ADRA1D	ALPHA1
ADRA1D	DAR
ADRA1D	dJ779E11.2
ADRA1B	ADRA1
ADRA1B	ALPHA1BAR
ADRA1A	ADRA1C
ADRA1A	ADRA1L1
